domain,tier,n,pct,precision,lift
IT,Excellent,0,0.0,,
IT,Strong,58,1.9333333333333333,0.29310344827586204,1.46551724137931
IT,Good,1264,42.13333333333333,0.22468354430379747,1.1234177215189873
IT,Average,1067,35.56666666666667,0.1668228678537957,0.8341143392689784
IT,Below Average,611,20.366666666666667,0.19803600654664485,0.9901800327332242
Non-IT,Excellent,79,2.6333333333333333,0.20253164556962025,1.0126582278481011
Non-IT,Strong,628,20.933333333333334,0.20222929936305734,1.0111464968152866
Non-IT,Good,1135,37.833333333333336,0.1973568281938326,0.986784140969163
Non-IT,Average,789,26.3,0.2002534854245881,1.0012674271229405
Non-IT,Below Average,369,12.3,0.2032520325203252,1.0162601626016259
