kind,gt,pred
experience,4.0,0
experience,6.5,0
experience,3.5,2
experience,7.0,7
experience,3.5,5
experience,2.0,0
experience,22.0,0
experience,13.0,13
experience,8.0,8
experience,0.5,0
experience,2.5,0
experience,2.0,0
experience,4.0,4
experience,4.6,0
experience,5.916666666666667,0
experience,3.0,3
experience,0.6666666666666666,0
experience,7.0,7
experience,1.0,0
experience,0.5,0
experience,12.0,7
experience,6.5,0
experience,10.0,10
experience,0.25,0
experience,2.1,1
experience,6.8,0
experience,1.25,0
