Education_Level,Experience,Projects,Skills,Certifications,Domain,Job Role,Courses,Keywords,Technologies
Master,5+ years,"Accounting, Customer Service","Salesforce, Excel, Communication","Customer Service Expert, Excel Advanced",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Customer Service, Salesforce, Accounting, Excel, Communication","Salesforce, Excel"
Bachelor,1-3 years,Operations,"Communication, Team Management, Excel, Customer Support, Accounting","Excel Advanced, Customer Service Expert",Non-IT,Operations Manager,"Advanced Excel Course, Customer Service Training","Customer Support, Excel, Accounting, Communication, Operations, Team Management",Excel
PhD,1-3 years,Operations,"Communication, Team Management, Salesforce, Excel, Customer Support","Customer Service Expert, Excel Advanced",Non-IT,Operations Manager,"Advanced Excel Course, Customer Service Training","Customer Support, Salesforce, Excel, Communication, Operations, Team Management","Salesforce, Excel"
PhD,0-1 years,"Market Research, Accounting, Operations","Customer Support, Excel, Team Management, Accounting","Customer Service Expert, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Customer Support, Market Research, Excel, Accounting, Operations, Team Management",Excel
Bachelor,1-3 years,"Accounting, Sales Strategy","Excel, Salesforce, Customer Support, Communication","Salesforce Certified, Excel Advanced",Non-IT,Accountant,"Salesforce Training, Advanced Excel Course","Customer Support, Sales Strategy, Salesforce, Excel, Accounting, Communication","Salesforce, Excel"
Master,1-3 years,Operations,"Communication, Customer Support, Team Management",Customer Service Expert,Non-IT,Operations Manager,Customer Service Training,"Operations, Team Management, Customer Support, Communication",
Master,0-1 years,"HR Management, Market Research, Accounting","Communication, Excel, Team Management","Customer Service Expert, Excel Advanced",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Market Research, HR Management, Excel, Accounting, Communication, Team Management",Excel
Master,5+ years,Sales Strategy,"Communication, Salesforce, Accounting, Team Management",Customer Service Expert,Non-IT,Business Analyst,Customer Service Training,"Sales Strategy, Salesforce, Accounting, Communication, Team Management",Salesforce
Master,0-1 years,"Market Research, Customer Service, Operations","Communication, Excel, Salesforce",Excel Advanced,Non-IT,Customer Support Representative,Advanced Excel Course,"Customer Service, Market Research, Salesforce, Excel, Communication, Operations","Salesforce, Excel"
Master,5+ years,"HR Management, Customer Service, Operations","Salesforce, Excel, Accounting, Team Management",Salesforce Certified,Non-IT,Customer Support Representative,Salesforce Training,"Customer Service, HR Management, Salesforce, Excel, Accounting, Operations, Team Management","Salesforce, Excel"
Bachelor,0-1 years,"Operations, Customer Service","Team Management, Salesforce, Customer Support","Customer Service Expert, Salesforce Certified",Non-IT,Customer Support Representative,"Salesforce Training, Customer Service Training","Customer Support, Customer Service, Salesforce, Operations, Team Management",Salesforce
Master,5+ years,"Market Research, Accounting, Operations","Salesforce, Communication, Customer Support, Team Management","Salesforce Certified, Customer Service Expert",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Customer Support, Market Research, Salesforce, Accounting, Communication, Operations, Team Management",Salesforce
PhD,0-1 years,"Market Research, Sales Strategy","Salesforce, Communication, Excel, Team Management, Accounting",Salesforce Certified,Non-IT,Market Research Analyst,Salesforce Training,"Sales Strategy, Market Research, Salesforce, Excel, Accounting, Communication, Team Management","Salesforce, Excel"
Bachelor,1-3 years,Sales Strategy,"Customer Support, Team Management, Communication","Excel Advanced, Customer Service Expert",Non-IT,Business Analyst,"Advanced Excel Course, Customer Service Training","Customer Support, Sales Strategy, Team Management, Communication",
Master,5+ years,"Operations, Customer Service","Salesforce, Team Management, Communication","Excel Advanced, Customer Service Expert",Non-IT,Customer Support Representative,"Advanced Excel Course, Customer Service Training","Customer Service, Salesforce, Communication, Operations, Team Management",Salesforce
Bachelor,3-5 years,"Sales Strategy, Operations, Market Research","Accounting, Salesforce, Customer Support",Salesforce Certified,Non-IT,Operations Manager,Salesforce Training,"Customer Support, Sales Strategy, Market Research, Salesforce, Accounting, Operations",Salesforce
Master,3-5 years,"Sales Strategy, Market Research, HR Management","Excel, Accounting, Customer Support, Team Management","Customer Service Expert, Salesforce Certified",Non-IT,Market Research Analyst,"Salesforce Training, Customer Service Training","Customer Support, Sales Strategy, HR Management, Market Research, Excel, Accounting, Team Management",Excel
Master,3-5 years,"Customer Service, Market Research, Accounting","Customer Support, Accounting, Excel","Customer Service Expert, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Customer Support, Customer Service, Market Research, Excel, Accounting",Excel
Master,5+ years,"Customer Service, Sales Strategy, HR Management","Salesforce, Accounting, Communication, Excel","Salesforce Certified, Customer Service Expert",Non-IT,Customer Support Representative,"Salesforce Training, Customer Service Training","Sales Strategy, Customer Service, HR Management, Salesforce, Accounting, Excel, Communication","Salesforce, Excel"
PhD,1-3 years,HR Management,"Accounting, Excel, Salesforce, Team Management, Communication",Salesforce Certified,Non-IT,Business Analyst,Salesforce Training,"HR Management, Salesforce, Excel, Accounting, Communication, Team Management","Salesforce, Excel"
Master,5+ years,"Customer Service, HR Management","Salesforce, Accounting, Excel, Customer Support",Salesforce Certified,Non-IT,Customer Support Representative,Salesforce Training,"Customer Support, Customer Service, HR Management, Salesforce, Excel, Accounting","Salesforce, Excel"
Bachelor,0-1 years,"HR Management, Accounting, Market Research","Communication, Accounting, Excel","Salesforce Certified, Customer Service Expert",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Market Research, HR Management, Excel, Accounting, Communication",Excel
Bachelor,1-3 years,"Sales Strategy, Operations","Customer Support, Excel, Accounting, Salesforce",Customer Service Expert,Non-IT,Operations Manager,Customer Service Training,"Customer Support, Sales Strategy, Salesforce, Excel, Accounting, Operations","Salesforce, Excel"
PhD,3-5 years,"Accounting, Operations, HR Management","Customer Support, Salesforce, Team Management",Salesforce Certified,Non-IT,Accountant,Salesforce Training,"Customer Support, HR Management, Salesforce, Accounting, Operations, Team Management",Salesforce
Bachelor,3-5 years,"Sales Strategy, Customer Service","Accounting, Team Management, Salesforce","Customer Service Expert, Salesforce Certified",Non-IT,Customer Support Representative,"Salesforce Training, Customer Service Training","Sales Strategy, Customer Service, Salesforce, Accounting, Team Management",Salesforce
Bachelor,5+ years,"Customer Service, HR Management, Accounting","Salesforce, Accounting, Customer Support, Communication","Customer Service Expert, Excel Advanced",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Customer Support, Customer Service, HR Management, Salesforce, Accounting, Communication",Salesforce
PhD,1-3 years,"Operations, Market Research, Accounting","Customer Support, Accounting, Communication","Salesforce Certified, Customer Service Expert",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Customer Support, Market Research, Accounting, Communication, Operations",
Master,0-1 years,HR Management,"Salesforce, Excel, Accounting",Customer Service Expert,Non-IT,Business Analyst,Customer Service Training,"Salesforce, Excel, HR Management, Accounting","Salesforce, Excel"
Master,1-3 years,Customer Service,"Communication, Team Management, Customer Support, Accounting","Excel Advanced, Customer Service Expert",Non-IT,Customer Support Representative,"Advanced Excel Course, Customer Service Training","Customer Support, Customer Service, Accounting, Communication, Team Management",
